"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\CheckInAgent.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\FlightCrew.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\LoginTest.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\LoginTest.java","3","78","Avoid unused local variables such as 'user'.","Best Practices","UnusedLocalVariable"
"3","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\LoginTest.java","3","90","Avoid unused local variables such as 'user'.","Best Practices","UnusedLocalVariable"
"4","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\LoginTest.java","3","102","Avoid unused local variables such as 'user'.","Best Practices","UnusedLocalVariable"
"5","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\LoginTest.java","3","114","Avoid unused local variables such as 'user'.","Best Practices","UnusedLocalVariable"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","10","This utility class has a non-private constructor","Design","UseUtilityClass"
"3","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","22","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"4","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","70","Ensure that resources like this BufferedWriter object are closed after use","Error Prone","CloseResource"
"5","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","132","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"6","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Main.java","3","530","This statement should have braces","Code Style","ControlStatementBraces"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\MyLogger.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\MyLogger.java","3","6","This utility class has a non-private constructor","Design","UseUtilityClass"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\PassPolicy.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\PassPolicy.java","1","8","The class name 'PassPolicy' doesn't match '^Test.*$|^[A-Z][a-zA-Z0-9]*Test(s|Case)?$'","Code Style","ClassNamingConventions"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\Passenger.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\User.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\User.java","3","80","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
"2","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","1","6","The class name 'login' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
"3","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","6","This utility class has a non-private constructor","Design","UseUtilityClass"
"4","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","10","Avoid unused private fields such as 'USER_FILE'.","Best Practices","UnusedPrivateField"
"5","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","11","Avoid unused private fields such as 'PASSENGER_FILE'.","Best Practices","UnusedPrivateField"
"6","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","36","Avoid unused method parameters such as 'password'.","Best Practices","UnusedFormalParameter"
"7","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\login.java","3","74","Ensure that resources like this Scanner object are closed after use","Error Prone","CloseResource"
"1","Securefinal","C:\Users\farou\eclipse-workspace\Secure\src\Securefinal\package-info.java","3","1","Package name contains upper case characters","Code Style","PackageCase"
